Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2015-07-02,14.3,23.4,15.8,318.0,11.7,0.0,248.1,32.1,57.9,7
2015-07-05,14.1,24.0,15.5,277.2,11.7,0.0,314.3,36.8,61.0,7
2015-07-08,16.9,26.7,13.5,248.7,15.0,2.872,173.3,41.7,71.1,7
2015-07-11,12.7,25.6,15.9,19.8,10.5,0.0,335.9,14.9,47.2,7
2015-07-14,11.0,24.5,14.6,143.6,14.9,11.576,176.7,54.4,72.3,7
2015-07-17,7.3,22.7,15.9,184.1,20.5,0.0,322.0,24.6,61.0,7
2015-07-20,15.0,30.9,15.6,277.1,18.3,0.0,293.9,29.2,54.0,7
2015-07-23,4.9,24.4,16.0,307.5,18.6,0.0,324.7,20.3,41.1,7
2015-07-26,10.2,26.7,16.0,197.5,21.8,0.256,276.9,63.3,53.8,7
2015-07-29,18.6,29.8,15.6,211.7,19.7,0.0,284.3,19.0,53.4,7
2015-08-01,7.8,27.4,16.0,267.8,20.5,0.0,300.7,31.8,45.4,8
2015-08-04,9.4,27.4,15.5,246.8,23.8,6.505,290.8,22.8,50.9,8
2015-08-07,5.2,24.3,16.0,61.7,16.5,0.0,283.0,12.8,48.9,8
2015-08-10,4.7,23.9,16.0,168.7,20.0,0.0,305.6,61.5,60.3,8
2015-08-13,4.4,24.1,16.0,318.5,16.7,0.0,316.7,25.7,47.1,8
2015-08-16,16.0,28.3,16.0,295.2,13.0,0.0,267.1,28.5,53.3,8
2015-08-19,6.4,26.8,16.0,161.6,23.9,0.0,273.8,55.1,71.2,8
2015-08-22,4.9,24.3,15.5,5.1,14.2,0.0,277.1,18.8,45.0,8
2015-08-25,13.5,27.2,15.8,216.8,19.5,0.0,258.4,43.4,54.0,8
2015-08-28,4.3,22.4,16.0,335.7,11.0,0.0,292.0,12.5,50.0,8
2015-08-31,18.3,28.2,15.4,254.0,16.0,0.0,178.4,38.7,56.0,8
2016-06-02,8.3,20.1,14.4,82.5,17.1,0.0,328.2,36.3,67.9,6
2016-06-05,5.8,20.2,11.6,144.7,14.7,25.727,162.7,86.5,82.9,6
2016-06-08,3.5,16.3,14.5,297.8,25.7,9.296,254.4,40.6,58.9,6
2016-06-11,13.6,23.5,15.6,245.0,19.9,0.492,243.9,38.5,48.9,6
2016-06-14,4.1,20.7,16.0,320.4,19.3,0.0,352.4,18.0,42.7,6
2016-06-17,8.1,21.0,15.5,100.1,20.1,0.0,263.0,26.7,58.9,6
2016-06-20,15.0,23.8,15.3,163.4,17.6,0.0,313.1,14.1,63.2,6
2016-06-23,19.0,23.5,15.3,48.3,13.1,0.0,227.2,54.5,54.8,6
2016-06-26,14.2,24.3,15.4,167.8,21.1,0.0,328.6,19.7,51.3,6
2016-07-02,11.8,22.0,15.4,302.7,21.7,0.0,303.2,30.6,56.6,7
2016-07-05,6.2,25.5,11.9,306.8,17.2,19.426,275.5,71.9,73.0,7
2016-07-08,18.0,25.7,14.4,89.0,19.6,0.858,271.6,52.7,75.1,7
2016-07-11,4.3,22.9,16.0,16.1,13.1,0.0,335.8,31.8,59.6,7
2016-07-14,12.6,26.9,14.1,193.9,18.1,12.737,305.8,63.5,77.7,7
2016-07-17,9.3,28.1,15.4,267.5,15.9,0.0,324.3,25.5,56.0,7
2016-07-20,7.3,24.7,15.8,357.5,13.2,0.0,334.1,35.7,44.9,7
2016-07-23,9.2,31.1,15.3,288.3,25.4,0.0,334.9,12.1,41.0,7
2016-07-26,6.6,27.5,15.1,303.3,23.1,0.0,308.1,24.9,61.6,7
2016-07-29,12.7,25.1,11.9,46.8,17.5,25.836,252.2,69.8,75.3,7
2016-08-01,6.5,23.3,14.8,62.8,16.4,0.891,206.7,95.1,76.7,8
2016-08-04,7.3,23.2,15.5,171.4,15.3,0.0,318.1,15.0,62.5,8
2016-08-07,4.9,26.5,15.7,325.5,20.6,0.0,322.8,15.1,47.5,8
2016-08-10,14.2,27.6,15.0,208.1,17.2,3.218,147.6,84.2,74.6,8
2016-08-13,12.9,31.2,15.1,225.7,18.3,0.03,153.0,26.0,65.6,8
2016-08-16,20.7,28.5,14.8,187.7,19.1,3.99,179.4,52.3,69.9,8
2016-08-19,9.8,26.9,15.3,38.4,12.0,0.197,276.4,43.3,63.7,8
2016-08-22,4.1,22.9,15.9,319.4,26.3,0.157,303.6,11.9,57.0,8
2016-08-25,10.4,25.4,15.9,191.7,23.8,0.131,179.2,41.8,65.4,8
2016-08-28,6.5,25.8,15.6,176.8,15.9,0.0,276.9,9.1,60.1,8
2016-08-31,10.0,26.7,15.1,212.2,15.9,0.0,253.0,47.5,64.8,8
2017-06-03,4.6,18.1,16.0,311.7,27.4,0.099,293.3,30.0,46.0,6
