Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2015-02-14,12.5,-5.0,12.8,245.2,20.6,0.653,67.7,82.2,58.2,2
2015-02-17,6.0,-6.5,10.9,14.7,15.0,2.939,98.3,68.3,59.2,2
2015-02-20,7.0,-12.1,16.0,287.8,30.0,0.0,184.8,2.1,38.3,2
2015-02-23,17.1,-5.0,16.0,318.5,31.3,0.0,136.7,34.8,41.9,2
2015-02-26,13.4,-4.3,15.4,21.2,17.8,0.0,127.6,69.4,51.4,2
2015-12-02,16.0,9.7,3.9,15.8,12.3,5.005,23.1,99.6,90.0,12
2015-12-05,11.9,6.7,15.9,321.9,5.8,0.0,111.3,0.9,58.9,12
2015-12-08,10.0,6.3,16.0,7.6,16.8,0.0,93.7,48.1,59.9,12
2015-12-11,24.0,12.1,12.5,223.7,12.7,0.0,71.6,18.7,69.8,12
2015-12-14,13.8,13.9,7.9,125.4,15.9,6.542,39.0,92.0,82.7,12
2015-12-17,5.7,12.8,10.5,125.5,14.2,27.792,14.8,98.6,85.0,12
2015-12-20,6.0,3.9,16.0,285.3,21.7,0.0,106.2,39.1,42.4,12
2015-12-23,13.4,12.5,3.8,66.7,14.1,40.003,39.6,85.2,89.3,12
2015-12-26,4.0,11.2,15.8,44.4,17.5,0.0,41.1,91.6,51.1,12
2015-12-29,5.0,4.5,7.3,51.4,26.1,13.507,31.8,97.2,87.2,12
2016-01-01,2.6,4.1,16.0,277.9,23.3,0.0,63.3,72.5,53.0,1
2016-01-04,7.1,-2.3,16.0,338.1,26.6,0.0,111.0,40.1,46.3,1
2016-01-07,21.8,2.7,15.9,315.9,8.9,0.0,90.0,35.9,35.6,1
2016-01-10,4.2,10.6,9.1,142.8,27.5,43.38,49.4,82.7,79.8,1
2016-01-13,7.7,-3.4,16.0,277.6,35.2,0.0,113.3,12.4,41.0,1
2016-01-16,5.5,7.6,14.3,306.0,22.8,9.939,71.2,95.9,70.6,1
2016-01-19,3.7,-5.0,16.0,291.8,35.6,0.0,110.1,11.1,42.5,1
2016-01-22,2.5,-3.4,15.7,3.5,17.3,0.0,58.1,36.2,40.7,1
2016-01-25,12.2,-0.6,15.7,270.2,10.3,0.0,115.5,34.4,58.3,1
2016-01-28,11.6,1.8,16.0,225.8,20.0,0.0,136.1,21.0,54.1,1
2016-01-31,12.3,5.7,16.0,205.9,13.2,0.0,102.8,15.0,56.2,1
2016-02-03,6.4,10.1,12.1,166.9,26.0,20.905,72.7,81.1,79.5,2
2016-02-06,8.5,1.4,16.0,235.5,16.8,0.0,97.2,11.9,52.0,2
2016-02-09,9.8,-0.6,15.4,49.7,14.2,0.0,108.5,93.9,69.2,2
2016-02-12,5.5,-5.9,16.0,261.5,22.7,0.0,122.1,40.4,38.8,2
2016-02-15,12.6,-6.1,10.2,30.8,22.4,509.097,44.4,79.1,60.7,2
2016-02-18,3.2,-0.2,16.0,337.4,23.9,0.0,179.4,4.6,39.1,2
2016-02-21,8.0,10.1,16.0,323.7,16.0,0.679,114.9,44.6,51.3,2
2016-02-24,4.1,7.3,4.3,106.3,35.6,29.361,45.6,100.0,91.7,2
2016-02-27,6.1,0.9,16.0,267.8,19.5,0.0,194.8,10.3,45.0,2
2016-12-02,3.4,7.4,16.0,266.3,25.1,0.0,107.2,38.6,50.7,12
2016-12-05,6.2,6.4,13.8,284.2,23.2,4.23,84.6,63.0,67.1,12
2016-12-08,10.2,4.8,15.9,267.5,23.9,0.0,55.7,42.0,53.2,12
2016-12-11,11.1,-0.7,14.6,233.7,14.5,0.824,62.3,65.0,61.6,12
2016-12-17,13.8,-0.3,7.7,220.5,14.8,18.012,34.6,99.3,83.2,12
2016-12-20,10.8,-3.1,16.0,310.9,14.9,0.0,109.9,9.2,46.1,12
2016-12-23,9.7,5.4,16.0,269.4,18.4,0.0,97.5,17.1,50.9,12
