Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
8/29/2013,10.2,23.3,12.8,72.4,15,0,246.1,79.1,78.4
9/1/2013,12.2,25.8,15.1,183.8,12,0.142,119,56.5,77.4
9/4/2013,5,22.6,16,283.3,17.6,0,281.5,7.2,54.8
9/7/2013,7.6,20,16,252.9,12.5,0,261.9,13.4,49.1
9/10/2013,16.1,24.8,14.9,210.2,20.1,0.099,235.6,62.8,69.7
9/13/2013,4.2,20.6,15.3,314.9,23.2,11.142,243.6,38.6,69.7
9/16/2013,5.8,18.1,15.9,339.3,23.7,0.622,172.8,69.9,64.6
9/19/2013,9.1,17.8,16,235.4,13.3,0,252.4,0,58.9
9/22/2013,1.9,18,14.7,311.7,20.7,23.71,232.9,59.2,63.2
9/25/2013,4.3,17.2,16,356.7,8.3,0,207.9,8.5,51.5
9/28/2013,4.7,18.3,16,55.6,16.4,0,228.8,21.1,59.9
10/1/2013,11.7,20.2,16,290.5,12.8,0,206.3,7.7,60.4
10/4/2013,18.4,23.5,14,241.6,15.6,0.299,191.9,44.1,63.5
10/7/2013,7.2,20.9,12.5,185.8,28.1,7.506,177,89.7,80.2
10/10/2013,4.4,15.1,16,37.1,19.6,0.142,68.5,82.7,68.9
10/13/2013,6.9,15.6,16,61.8,21.5,0,193.7,75.4,65.9
10/16/2013,8.4,16.4,15.8,67.7,13,0,78.6,60,73.8
10/19/2013,10.4,14.4,16,192.8,14.8,0,130.2,38.2,58.9
10/22/2013,6.6,14.5,15.9,236,17.9,0,167.9,33.4,59.9
10/25/2013,4.8,8.2,16,288.2,22,0,152.9,24.9,48.8
10/28/2013,7,11,16,277.6,18.4,0,163.3,8,45.7
10/31/2013,17,15.1,11.7,170.9,15.6,0.569,101.3,82.3,77.5
11/3/2013,3.3,8.4,16,343.2,23.6,0,119.2,57,52.8
11/6/2013,5.4,12.6,16,169.6,16.8,0,115.7,53.1,66.9
11/9/2013,4.6,7.1,16,246.4,16.4,0,57.6,26.2,46.9
11/12/2013,3.2,4.5,14.9,321.5,28.8,0.653,35.1,58.8,50.6
11/15/2013,15.5,8.9,16,215,13,0,93.3,14.4,38.4
11/18/2013,2.2,16,13.7,250.7,29,5.664,127.3,39.4,49.6
11/21/2013,3.6,6.6,16,78.7,12.8,0,109.6,53.8,55.2
11/24/2013,2.1,-2.9,16,305,40.5,0,118.6,23.2,36.1
11/27/2013,3.1,9.1,10.7,290.4,29.3,55.067,23.2,99.5,80.4
11/30/2013,7.7,0.1,16,37.8,12.3,0,107.6,33,51.5
12/6/2013,5.4,9.4,8.5,14.6,17.5,18.871,45,100,85.3
