Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity,Month
2015-03-31,3.2,4.5,13.7,301.4,20.0,4.99,120.6,69.1,67.0,3
2015-04-03,13.0,15.8,13.9,218.6,28.9,0.687,66.0,77.2,64.4,4
2015-04-06,10.4,10.2,15.9,72.9,19.2,0.0,239.4,12.0,58.5,4
2015-04-09,4.1,4.3,11.5,66.5,18.8,0.0,54.3,100.0,82.3,4
2015-04-12,6.9,11.0,16.0,223.1,18.9,0.0,299.9,2.7,42.8,4
2015-04-18,6.1,19.6,16.0,308.6,21.4,0.0,297.3,13.8,41.9,4
2015-04-21,5.0,14.6,11.9,269.8,29.5,6.582,285.3,52.5,60.4,4
2015-04-24,1.5,5.9,16.0,320.3,33.3,0.0,263.2,60.4,39.1,4
2015-04-27,1.5,12.2,16.0,320.4,24.6,0.0,264.7,86.9,42.2,4
2015-04-30,4.3,12.7,16.0,78.3,17.8,0.0,281.5,36.0,56.2,4
2015-05-03,9.7,16.9,16.0,184.3,20.9,0.0,308.8,18.2,42.9,5
2015-05-06,9.1,18.9,16.0,35.8,14.4,0.0,137.4,67.2,42.8,5
2015-05-09,16.2,16.2,7.7,85.1,12.2,0.059,213.2,90.1,81.7,5
2015-05-12,13.5,24.6,14.4,258.8,28.7,0.0,236.1,45.0,58.7,5
2015-05-15,10.0,17.2,16.0,199.8,22.4,0.0,251.5,25.7,42.7,5
2015-05-18,13.6,18.0,11.3,81.4,20.5,0.0,252.3,76.5,76.9,5
2015-05-21,5.0,13.6,16.0,200.0,19.4,0.0,250.4,74.8,48.6,5
2015-05-24,10.0,19.5,16.0,209.6,16.0,0.0,330.4,12.0,42.9,5
2015-05-27,14.3,23.9,14.6,186.5,22.0,6.85,297.7,55.8,69.6,5
2015-05-30,8.1,23.7,15.9,185.4,20.4,0.0,342.7,21.9,67.0,5
2016-03-01,6.6,7.2,16.0,136.8,20.7,0.0,195.8,37.1,50.4,3
2016-03-04,9.5,0.8,10.4,27.7,21.1,2.401,68.8,67.1,65.9,3
2016-03-07,17.9,8.3,15.1,221.6,26.9,0.0,152.8,11.8,56.4,3
2016-03-10,13.8,21.0,16.0,247.2,16.1,0.371,145.7,45.9,48.0,3
2016-03-13,6.7,12.9,16.0,24.1,14.3,0.0,79.4,39.1,49.5,3
